"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"sm__sass_inst_executed_op_memory_128b","# of warp instructions executed by memory instructions with width 128 bit","1","1"
"sm__sass_inst_executed_op_memory_16b","# of warp instructions executed by memory instructions with width 16 bit","1","1"
"sm__sass_inst_executed_op_memory_32b","# of warp instructions executed by memory instructions with width 32 bit","1","1"
"sm__sass_inst_executed_op_memory_64b","# of warp instructions executed by memory instructions with width 64 bit","1","1"
"sm__sass_inst_executed_op_memory_8b","# of warp instructions executed by memory instructions with width 8 bit","1","1"
"sm__sass_inst_executed_op_shared","# of warp instructions executed: LDS, LD, STS, ST, ATOMS, ATOM","1","1"
"sm__sass_inst_executed_op_shared_atom","# of warp instructions executed: ATOMS ATOM","1","1"
"sm__sass_inst_executed_op_shared_ld","# of warp instructions executed: LDS, LD","1","1"
"sm__sass_inst_executed_op_shared_st","# of warp instructions executed: STS, ST","1","1"
"sm__sass_inst_executed_op_st","# of warp instructions executed: STG, ST, STL","1","1"
"sm__sass_inst_executed_op_texture","# of warp instructions executed: texture","1","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts","# of data bank conflicts generated by LDGSTS","1","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts_cache_access","# of data bank conflicts generated by LDGSTS.ACCESS","1","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts_cache_bypass","# of data bank conflicts generated by LDGSTS.BYPASS","1","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_st","# of data bank conflicts generated by Shared Stores","1","1"
"sm__sass_l1tex_data_bank_writes_pipe_lsu_mem_shared_op_ldgsts_cache_access","# of LDGSTS.ACCESS shared data bank writes","1","1"
"sm__sass_l1tex_data_bytes_write_pipe_lsu_mem_shared_op_ldgsts_cache_access","# of LDGSTS.ACCESS shared data bytes write","1","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_atom","# of shared atom wavefronts processed by Data-Stage","1","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ld","# of shared load wavefronts processed by Data-Stage","1","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts","# of LDGSTS shared store wavefronts processed by Data-Stage","1","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_access","# of LDGSTS.ACCESS shared store wavefronts processed by Data-Stage","1","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_bypass","# of LDGSTS.BYPASS shared store wavefronts processed by Data-Stage","1","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_st","# of shared store wavefronts processed by Data-Stage","1","1"
"sm__sass_l1tex_m_xbar2l1tex_read_bytes_mem_global_op_ldgsts_cache_bypass","# of bytes read from L2 into L1TEX M-Stage for LDGSTS.BYPASS","1","1"
"sm__sass_l1tex_m_xbar2l1tex_read_sectors_mem_global_op_ldgsts_cache_bypass","# of sectors read from L2 into L1TEX M-Stage for LDGSTS.BYPASS","1","1"
"sm__sass_l1tex_pipe_lsu_wavefronts_mem_shared","# of shared memory wavefront processed by Data-Stage","1","1"
"sm__sass_l1tex_t_output_wavefronts_pipe_lsu_mem_global_op_ldgsts_cache_access","# of wavefronts sent to Data-Stage from T-Stage for LDGSTS.ACCESS","1","1"
"sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts","# of requests sent to T-Stage for LDGSTS","1","1"
"sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_access","# of requests sent to T-Stage for LDGSTS.ACCESS","1","1"
"sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_bypass","# of requests sent to T-Stage for LDGSTS.BYPASS","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_atom","# of sectors requested for global atom","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ld","# of sectors requested for global loads","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts","# of sectors requested for LDGSTS","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_access","# of sectors requested for LDGSTS.ACCESS","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_bypass","# of sectors requested for LDGSTS.BYPASS","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_red","# of sectors requested for global reductions","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_st","# of sectors requested for global stores","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_local_op_ld","# of sectors requested for local loads","1","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_local_op_st","# of sectors requested for local stores","1","1"
"sm__sass_l1tex_tags_mem_global","# of L1 cache tag lookups generated by global memory instructions","1","1"
"sm__sass_sectors_mem_global","# of global memory sectors accessed","1","1"
"sm__sass_sectors_mem_local","# of local memory sectors accessed","1","1"
"sm__sass_thread_inst_executed","# of thread instructions executed","1","1"
"sm__sass_thread_inst_executed_op_bit_pred_on","# of bit thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_control_pred_on","# of control-flow thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_conversion_pred_on","# of conversion thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_dadd_pred_on","# of DADD thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_dfma_pred_on","# of DFMA thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_dmul_pred_on","# of DMUL thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_fadd_pred_on","# of FADD thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_ffma_pred_on","# of FFMA thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_fmul_pred_on","# of FMUL thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_fp16_pred_on","# of half-precision floating-point thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_fp32_pred_on","# of single-precision floating-point thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_fp64_pred_on","# of double-precision floating-point thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_hadd_pred_on","# of HADD thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_hfma_pred_on","# of HFMA thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_hmul_pred_on","# of HMUL thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_integer_pred_on","# of integer thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_inter_thread_communication_pred_on","# of inter-thread communication thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_memory_pred_on","# of memory thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_misc_pred_on","# of miscellaneous instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_op_uniform_pred_on","# of uniform thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on","# of DADD, DMUL and DFMA thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on","# of FADD, FMUL and FFMA thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on","# of HADD, HMUL and HFMA thread instructions executed where all predicates were true","1","1"
"sm__sass_thread_inst_executed_pred_on","# of thread instructions where all predicates were true","1","1"
"sm__thread_inst_executed_pred_on_realtime","# of thread instructions executed","1","1"
"sm__threads_launched","# of threads launched","1","1"
"sm__threads_launched_shader_cs","# of threads launched for CS","1","1"
"sm__throughput","SM throughput assuming ideal load balancing across SMSPs","1","1"
"sm__warps_active","cumulative # of warps in flight","1","1"
"sm__warps_active_realtime","cumulative # of warps in flight","1","1"
"sm__warps_active_shader_cs_realtime","cumulative # of active CS warps","1","1"
"sm__warps_launched","# of warps launched","1","1"
"sm__warps_launched_shader_cs","# of warps launched for CS","1","1"
"smsp__amortized_warp_latency","amortized warp duration (cycles)","1","1"
"smsp__average_inst_executed_per_warp","average # of instructions executed per warp","1","1"
"smsp__average_inst_executed_pipe_alu_per_warp","average # of instructions executed by pipe alu per warp","1","1"
"smsp__average_inst_executed_pipe_cbu_per_warp","average # of instructions executed by pipe cbu per warp","1","1"
"smsp__average_inst_executed_pipe_fma_per_warp","average # of instructions executed by pipe fma per warp","1","1"
"smsp__average_inst_executed_pipe_fma_type_fp16_per_warp","average # of instructions executed by pipe fma_type_fp16 per warp","1","1"
"smsp__average_inst_executed_pipe_fmaheavy_per_warp","average # of instructions executed by pipe fmaheavy per warp","1","1"
"smsp__average_inst_executed_pipe_fmalite_per_warp","average # of instructions executed by pipe fmalite per warp","1","1"
"smsp__average_inst_executed_pipe_fp64_op_dmma_per_warp","average # of instructions executed by pipe fp64_op_dmma per warp","1","1"
"smsp__average_inst_executed_pipe_fp64_per_warp","average # of instructions executed by pipe fp64 per warp","1","1"
"smsp__average_inst_executed_pipe_ipa_per_warp","average # of instructions executed by pipe ipa per warp","1","1"
"smsp__average_inst_executed_pipe_lsu_per_warp","average # of instructions executed by pipe lsu per warp","1","1"
"smsp__average_inst_executed_pipe_tensor_op_hmma_per_warp","average # of instructions executed by pipe tensor_op_hmma per warp","1","1"
"smsp__average_inst_executed_pipe_tensor_op_imma_per_warp","average # of instructions executed by pipe tensor_op_imma per warp","1","1"
"smsp__average_inst_executed_pipe_tex_per_warp","average # of instructions executed by pipe tex per warp","1","1"
"smsp__average_inst_executed_pipe_uniform_per_warp","average # of instructions executed by pipe uniform per warp","1","1"
"smsp__average_inst_executed_pipe_xu_per_warp","average # of instructions executed by pipe xu per warp","1","1"
"smsp__average_threads_launched_per_warp","average # of threads launched per warp","1","1"
"smsp__average_warp_latency","average warp duration (cycles)","1","1"
"smsp__average_warp_latency_issue_stalled_barrier","average # of warp cycles spent waiting for sibling warps at a CTA barrier","1","1"
"smsp__average_warp_latency_issue_stalled_branch_resolving","average # of warp cycles spent waiting for a branch target address to be computed, and the warp PC to be updated","1","1"
"smsp__average_warp_latency_issue_stalled_dispatch_stall","average # of warp cycles spent waiting on a dispatch stall","1","1"
"smsp__average_warp_latency_issue_stalled_drain","average # of warp cycles spent waiting after EXIT for all memory instructions to complete so that warp resources can be freed","1","1"
"smsp__average_warp_latency_issue_stalled_imc_miss","average # of warp cycles spent waiting for an immediate constant cache (IMC) miss","1","1"
"smsp__average_warp_latency_issue_stalled_lg_throttle","average # of warp cycles spent waiting for a free entry in the LSU instruction queue","1","1"
"smsp__average_warp_latency_issue_stalled_long_scoreboard","average # of warp cycles spent waiting for a scoreboard dependency on L1TEX (local, global, surface, tex) operation","1","1"
"smsp__average_warp_latency_issue_stalled_math_pipe_throttle","average # of warp cycles spent waiting for an execution pipe to be available","1","1"
"smsp__average_warp_latency_issue_stalled_membar","average # of warp cycles spent waiting on a memory barrier","1","1"
"smsp__average_warp_latency_issue_stalled_mio_throttle","average # of warp cycles spent waiting for a free entry in the MIO instruction queue","1","1"
"smsp__average_warp_latency_issue_stalled_misc","average # of warp cycles spent waiting on a miscellaneous hardware reason","1","1"
"smsp__average_warp_latency_issue_stalled_no_instruction","average # of warp cycles spent waiting to be selected for instruction fetch, or waiting on an instruction cache miss","1","1"
"smsp__average_warp_latency_issue_stalled_not_selected","average # of warp cycles spent waiting for the microscheduler to select the warp to issue","1","1"
"smsp__average_warp_latency_issue_stalled_selected","average # of warp cycles spent selected by the microscheduler to issue an instruction","1","1"
"smsp__average_warp_latency_issue_stalled_short_scoreboard","average # of warp cycles spent waiting for a scoreboard dependency on MIO operation other than (local, global, surface, tex)","1","1"
"smsp__average_warp_latency_issue_stalled_sleeping","average # of warp cycles spent waiting for a nanosleep to expire","1","1"
"smsp__average_warp_latency_issue_stalled_tex_throttle","average # of warp cycles spent waiting for a free entry in the TEX instruction queue","1","1"
"smsp__average_warp_latency_issue_stalled_wait","average # of warp cycles spent waiting on a fixed latency execution dependency","1","1"
"smsp__average_warp_latency_per_inst_executed","average # of cycles each warp was resident per instruction executed","1","1"
"smsp__average_warp_latency_per_inst_issued","average # of cycles each warp was resident per instruction issued","1","1"
"smsp__average_warps_active_per_inst_executed","average # of cycles each warp was resident per instruction executed","1","1"
"smsp__average_warps_active_per_issue_active","average # of warps resident per issue cycle","1","1"
"smsp__average_warps_issue_stalled_barrier_per_issue_active","average # of warps resident per issue cycle, waiting for sibling warps at a CTA barrier","1","1"
"smsp__average_warps_issue_stalled_branch_resolving_per_issue_active","average # of warps resident per issue cycle, waiting for a branch target address to be computed, and the warp PC to be updated","1","1"
"smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active","average # of warps resident per issue cycle, waiting on a dispatch stall","1","1"
"smsp__average_warps_issue_stalled_drain_per_issue_active","average # of warps resident per issue cycle, waiting after EXIT for all memory instructions to complete so that warp resources can be freed","1","1"
"smsp__average_warps_issue_stalled_imc_miss_per_issue_active","average # of warps resident per issue cycle, waiting for an immediate constant cache (IMC) miss","1","1"
"smsp__average_warps_issue_stalled_lg_throttle_per_issue_active","average # of warps resident per issue cycle, waiting for a free entry in the LSU instruction queue","1","1"
"smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active","average # of warps resident per issue cycle, waiting for a scoreboard dependency on L1TEX (local, global, surface, tex) operation","1","1"
"smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active","average # of warps resident per issue cycle, waiting for an execution pipe to be available","1","1"
"smsp__average_warps_issue_stalled_membar_per_issue_active","average # of warps resident per issue cycle, waiting on a memory barrier","1","1"
"smsp__average_warps_issue_stalled_mio_throttle_per_issue_active","average # of warps resident per issue cycle, waiting for a free entry in the MIO instruction queue","1","1"
"smsp__average_warps_issue_stalled_misc_per_issue_active","average # of warps resident per issue cycle, waiting on a miscellaneous hardware reason","1","1"
"smsp__average_warps_issue_stalled_no_instruction_per_issue_active","average # of warps resident per issue cycle, waiting to be selected for instruction fetch, or waiting on an instruction cache miss","1","1"
"smsp__average_warps_issue_stalled_not_selected_per_issue_active","average # of warps resident per issue cycle, waiting for the microscheduler to select the warp to issue","1","1"
"smsp__average_warps_issue_stalled_selected_per_issue_active","average # of warps resident per issue cycle, selected by the microscheduler to issue an instruction","1","1"
"smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active","average # of warps resident per issue cycle, waiting for a scoreboard dependency on MIO operation other than (local, global, surface, tex)","1","1"
"smsp__average_warps_issue_stalled_sleeping_per_issue_active","average # of warps resident per issue cycle, waiting for a nanosleep to expire","1","1"
"smsp__average_warps_issue_stalled_tex_throttle_per_issue_active","average # of warps resident per issue cycle, waiting for a free entry in the TEX instruction queue","1","1"
"smsp__average_warps_issue_stalled_wait_per_issue_active","average # of warps resident per issue cycle, waiting on a fixed latency execution dependency","1","1"
"smsp__cycles_active","# of cycles with at least one warp in flight","1","1"
"smsp__cycles_elapsed","# of cycles elapsed on SMSP","1","1"
"smsp__cycles_in_frame","# of cycles in user-defined frame","1","1"
"smsp__cycles_in_region","# of cycles in user-defined region","1","1"
"smsp__inst_executed","# of warp instructions executed","1","1"
"smsp__inst_executed_op_branch","# of warp instructions executed: BRA, BRX, JMP, JMX, CALL, RET","1","1"
"smsp__inst_executed_op_generic_atom","# of warp instructions executed: ATOM.*","1","1"
"smsp__inst_executed_op_generic_atom_dot_alu","# of warp instructions executed: ATOM.ALU, ATOMG.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_generic_atom_dot_alu_pred_off_all","# of warp instructions executed with all threads predicated off: ATOM.ALU, ATOMG.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_generic_atom_dot_alu_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: ATOM.ALU, ATOMG.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_generic_atom_dot_cas","# of warp instructions executed: ATOM.CAS, ATOMG.CAS","1","1"
"smsp__inst_executed_op_generic_atom_dot_cas_pred_off_all","# of warp instructions executed with all threads predicated off: ATOM.CAS, ATOMG.CAS","1","1"
"smsp__inst_executed_op_generic_atom_dot_cas_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: ATOM.CAS, ATOMG.CAS","1","1"
"smsp__inst_executed_op_generic_atom_pred_off_all","# of warp instructions executed with all threads predicated off: ATOM.*","1","1"
"smsp__inst_executed_op_generic_atom_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: ATOM.*","1","1"
"smsp__inst_executed_op_generic_ld","# of warp instructions executed: LD","1","1"
"smsp__inst_executed_op_generic_ld_pred_off_all","# of warp instructions executed with all threads predicated off: LD","1","1"
"smsp__inst_executed_op_generic_ld_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: LD","1","1"
"smsp__inst_executed_op_generic_st","# of warp instructions executed: ST","1","1"
"smsp__inst_executed_op_generic_st_pred_off_all","# of warp instructions executed with all threads predicated off: ST","1","1"
"smsp__inst_executed_op_generic_st_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: ST","1","1"
"smsp__inst_executed_op_global_ld","# of warp instructions executed: LDG","1","1"
"smsp__inst_executed_op_global_ld_pred_off_all","# of warp instructions executed with all threads predicated off: LDG","1","1"
"smsp__inst_executed_op_global_ld_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: LDG","1","1"
"smsp__inst_executed_op_global_red","# of warp instructions executed: RED","1","1"
"smsp__inst_executed_op_global_red_pred_off_all","# of warp instructions executed with all threads predicated off: RED","1","1"
"smsp__inst_executed_op_global_red_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: RED","1","1"
"smsp__inst_executed_op_global_st","# of warp instructions executed: STG","1","1"
"smsp__inst_executed_op_global_st_pred_off_all","# of warp instructions executed with all threads predicated off: STG","1","1"
"smsp__inst_executed_op_global_st_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: STG","1","1"
"smsp__inst_executed_op_ldc","# of warp instructions executed: LDC","1","1"
"smsp__inst_executed_op_ldc_pred_off_all","# of warp instructions executed with all threads predicated off: LDC","1","1"
"smsp__inst_executed_op_ldc_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: LDC","1","1"
"smsp__inst_executed_op_ldgsts","# of warp instructions executed: LDGSTS","1","1"
"smsp__inst_executed_op_ldgsts_pred_off_all","# of warp instructions executed with all threads predicated off: LDGSTS","1","1"
"smsp__inst_executed_op_ldgsts_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: LDGSTS","1","1"
"smsp__inst_executed_op_local_ld","# of warp instructions executed: LDL","1","1"
"smsp__inst_executed_op_local_ld_pred_off_all","# of warp instructions executed with all threads predicated off: LDL","1","1"
"smsp__inst_executed_op_local_ld_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: LDL","1","1"
"smsp__inst_executed_op_local_st","# of warp instructions executed: STL","1","1"
"smsp__inst_executed_op_local_st_pred_off_all","# of warp instructions executed with all threads predicated off: STL","1","1"
"smsp__inst_executed_op_local_st_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: STL","1","1"
"smsp__inst_executed_op_shared_atom","# of warp instructions executed: ATOMS.*","1","1"
"smsp__inst_executed_op_shared_atom_dot_alu","# of warp instructions executed: ATOMS.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_shared_atom_dot_alu_pred_off_all","# of warp instructions executed with all threads predicated off: ATOMS.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_shared_atom_dot_alu_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: ATOMS.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_shared_atom_dot_cas","# of warp instructions executed: ATOMS.CAS","1","1"
"smsp__inst_executed_op_shared_atom_dot_cas_pred_off_all","# of warp instructions executed with all threads predicated off: ATOMS.CAS","1","1"
"smsp__inst_executed_op_shared_atom_dot_cas_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: ATOMS.CAS","1","1"
"smsp__inst_executed_op_shared_atom_pred_off_all","# of warp instructions executed with all threads predicated off: ATOMS.*","1","1"
"smsp__inst_executed_op_shared_atom_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: ATOMS.*","1","1"
"smsp__inst_executed_op_shared_ld","# of warp instructions executed: LDS","1","1"
"smsp__inst_executed_op_shared_ld_pred_off_all","# of warp instructions executed with all threads predicated off: LDS","1","1"
"smsp__inst_executed_op_shared_ld_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: LDS","1","1"
"smsp__inst_executed_op_shared_st","# of warp instructions executed: STS","1","1"
"smsp__inst_executed_op_shared_st_pred_off_all","# of warp instructions executed with all threads predicated off: STS","1","1"
"smsp__inst_executed_op_shared_st_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: STS","1","1"
"smsp__inst_executed_op_surface_atom","# of warp instructions executed: SUATOM.*","1","1"
"smsp__inst_executed_op_surface_atom_dot_alu","# of warp instructions executed: SUATOM.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_surface_atom_dot_alu_pred_off_all","# of warp instructions executed with all threads predicated off: SUATOM.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_surface_atom_dot_alu_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: SUATOM.ALU (non-CAS)","1","1"
"smsp__inst_executed_op_surface_atom_dot_cas","# of warp instructions executed: SUATOM.CAS","1","1"
"smsp__inst_executed_op_surface_atom_dot_cas_pred_off_all","# of warp instructions executed with all threads predicated off: SUATOM.CAS","1","1"
"smsp__inst_executed_op_surface_atom_dot_cas_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: SUATOM.CAS","1","1"
"smsp__inst_executed_op_surface_atom_pred_off_all","# of warp instructions executed with all threads predicated off: SUATOM.*","1","1"
"smsp__inst_executed_op_surface_atom_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: SUATOM.*","1","1"
"smsp__inst_executed_op_surface_ld","# of warp instructions executed: SULD","1","1"
"smsp__inst_executed_op_surface_ld_pred_off_all","# of warp instructions executed with all threads predicated off: SULD","1","1"
"smsp__inst_executed_op_surface_ld_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: SULD","1","1"
"smsp__inst_executed_op_surface_red","# of warp instructions executed: SURED","1","1"
"smsp__inst_executed_op_surface_red_pred_off_all","# of warp instructions executed with all threads predicated off: SURED","1","1"
"smsp__inst_executed_op_surface_red_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: SURED","1","1"
"smsp__inst_executed_op_surface_st","# of warp instructions executed: SUST","1","1"
"smsp__inst_executed_op_surface_st_pred_off_all","# of warp instructions executed with all threads predicated off: SUST","1","1"
"smsp__inst_executed_op_surface_st_pred_on_any","# of warp instructions executed with at least 1 thread predicated on: SUST","1","1"
"smsp__inst_executed_op_texture","# of warp instructions executed: texture","1","1"
"smsp__inst_executed_pipe_adu","# of warp instructions executed by adu pipe","1","1"
"smsp__inst_executed_pipe_alu","# of warp instructions executed by alu pipe","1","1"
"smsp__inst_executed_pipe_cbu","# of warp instructions executed by cbu pipe","1","1"
"smsp__inst_executed_pipe_cbu_pred_off_all","# of warp instructions executed by cbu pipe with all threads predicated off","1","1"
"smsp__inst_executed_pipe_cbu_pred_on_any","# of warp instructions executed by cbu pipe with at least 1 thread predicated on","1","1"
"smsp__inst_executed_pipe_fma","# of warp instructions executed by fma pipes","1","1"
"smsp__inst_executed_pipe_fma_type_fp16","# of warp instructions executed by fma pipes (fp16 ops)","1","1"
"smsp__inst_executed_pipe_fmaheavy","# of warp instructions executed by fmaheavy pipe","1","1"
"smsp__inst_executed_pipe_fmalite","# of warp instructions executed by fmalite pipe","1","1"
"smsp__inst_executed_pipe_fp64","# of warp instructions executed by fp64 pipe","1","1"
"smsp__inst_executed_pipe_fp64_op_dmma","# of warp instructions executed by fp64 pipe (DMMA ops)","1","1"
"smsp__inst_executed_pipe_ipa","# of warp instructions executed by ipa pipe","1","1"
"smsp__inst_executed_pipe_lsu","# of warp instructions executed by lsu pipe","1","1"
"smsp__inst_executed_pipe_tensor","# of warp instructions executed by tensor pipe","1","1"
"smsp__inst_executed_pipe_tensor_op_hmma","# of warp instructions executed by tensor pipe (HMMA ops)","1","1"
"smsp__inst_executed_pipe_tensor_op_imma","# of warp instructions executed by tensor pipe (IMMA ops)","1","1"
"smsp__inst_executed_pipe_tex","# of warp instructions executed by tex pipe","1","1"
"smsp__inst_executed_pipe_uniform","# of warp instructions executed by uniform pipe","1","1"
"smsp__inst_executed_pipe_xu","# of warp instructions executed by xu pipe","1","1"
"smsp__inst_executed_shader_cs","# of warp instructions executed by CS","1","1"
"smsp__inst_issued","# of warp instructions issued","1","1"
"smsp__inst_issued_per_issue_active","# of warp instructions per issue cycle","1","1"
"smsp__issue_active","# of active cycles where 1 instruction was issued","1","1"
"smsp__issue_inst0","# of active cycles where 0 instructions were issued","1","1"
"smsp__issue_inst1","# of active cycles where 1 instruction was issued","1","1"
"smsp__l1tex_lsuin_requests","# of local/global/shared/attribute/S2R/SHFL instructions sent to LSU","1","1"
"smsp__mio2rf_writeback_active","# of cycles where the MIO to register file writeback interface was active","1","1"
"smsp__mio2rf_writeback_active_pipe_adu","# of cycles where the MIO to register file writeback interface was active for ADU return data","1","1"
"smsp__mio2rf_writeback_active_pipe_lsu","# of cycles where the MIO to register file writeback interface was active for LSU return data","1","1"
"smsp__mio2rf_writeback_active_pipe_tex","# of cycles where the MIO to register file writeback interface was active for TEX return data","1","1"
"smsp__pipe_alu_cycles_active","# of cycles where alu pipe was active","1","1"
"smsp__pipe_fma_cycles_active","# of cycles where fma pipes were active","1","1"
"smsp__pipe_fmaheavy_cycles_active","# of cycles where fmaheavy pipe was active","1","1"
"smsp__pipe_fmalite_cycles_active","# of cycles where fmalite pipe was active","1","1"
"smsp__pipe_fp64_cycles_active","# of cycles where fp64 pipe was active","1","1"
"smsp__pipe_tensor_cycles_active","# of cycles where tensor pipe was active","1","1"
"smsp__pipe_tensor_op_hmma_cycles_active","# of cycles where tensor pipe was active (HMMA ops)","1","1"
"smsp__pipe_tensor_op_imma_cycles_active","# of cycles where tensor pipe was active (IMMA ops)","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global","average # of bytes per sector by global memory operations","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global_op_atom","average # of bytes per sector by global atom","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global_op_ld","average # of bytes per sector by global loads","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global_op_ldgsts","average # of bytes per sector by LDGSTS global loads","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global_op_ldgsts_cache_access","average # of bytes per sector by LDGSTS.ACCESS global loads","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global_op_ldgsts_cache_bypass","average # of bytes per sector by LDGSTS.BYPASS global loads","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global_op_red","average # of bytes per sector by global reductions","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_global_op_st","average # of bytes per sector by global stores","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_local","average # of bytes per sector by local memory operations","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_local_op_ld","average # of bytes per sector by local loads","1","1"
"smsp__sass_average_data_bytes_per_sector_mem_local_op_st","average # of bytes per sector by local stores","1","1"
"smsp__sass_average_data_bytes_per_wavefront_mem_shared","average # of bytes per wavefront by shared memory operations","1","1"
"smsp__sass_average_data_bytes_per_wavefront_mem_shared_op_atom","average # of bytes per wavefront by shared atom","1","1"
